"21","Sale or Acquisition of Business Units. As we continue to develop our business, we may buy or sell business divisions or companies, we may merge or combine with another company, or our company itself, or all or a significant part of its assets, may be acquired by another company. We may provide any information we have to a potential counter-party in any such potential transaction. If such a transaction is completed, customer information generally is one of the transferred and shared business assets. The information transferred and shared remains subject to the promises made in any pre-existing privacy notice (unless, of course, the customer has agreed to be subject to new privacy notice terms).","Merger/Acquisition"
"21","As we continue to develop our business, we may buy or sell business divisions or companies, we may merge or combine with another company, or our company itself, or all or a significant part of its assets, may be acquired by another company. We may provide any information we have to a potential counter-party in any such potential transaction. If such a transaction is completed, customer information generally is one of the transferred and shared business assets. The information transferred and shared remains subject to the promises made in any pre-existing privacy notice","Merger/Acquisition"
"21","we may merge or combine with another company, or our company itself, or all or a significant part of its assets, may be acquired by another company","Merger/Acquisition"
"22","we believe release is appropriate or necessary to comply with the law,","Legal requirement"
"22","to enforce or apply our website terms of use and other agreements, or to protect the rights, property, or safety of our Websites, our users, or others.","Service operation and security"
"22","subpoena or court order, or to cooperate with a law enforcement investigation","Legal requirement"
"22","f we believe release is appropriate or necessary to comply with the law, to enforce or apply our website terms of use and other agreements, or to protect the rights, property, or safety of our Websites, our users, or others.","Legal requirement"
"22","to protect against fraud, or for credit risk reduction.","Service operation and security"
"22","to appropriate government authorities upon receipt of a subpoena or court order, or to cooperate with a law enforcement investigation. We will fully cooperate with law enforcement agencies in identifying those who use our services for illegal activities. We also reserve the right to report to law enforcement agencies activities that we in good faith believe to be illegal. We undertake no obligation or duty to release such information, however, unless we are required to do so under applicable law.","Legal requirement"
"22","if we believe release is appropriate or necessary to comply with the law","Legal requirement"
"22","to enforce or apply our website terms of use and other agreements, or to protect the rights, property, or safety of our Websites, our users, or others.","Service operation and security"
"22","if we believe release is appropriate or necessary to comply with the law","Legal requirement"
"22","to enforce or apply our website terms of use and other agreements, or to protect the rights, property, or safety of our Websites, our users, or others.","Service operation and security"
"24","This program allows other websites to earn money by directing people (through links) to our Website. If you sign up as an affiliate,","Advertising"
"24","activates your affiliate status and pays you based on the sales you generate for our Websites.","Additional service/feature"
"25","to provide you access to their products and services.","Marketing"
"25","to provide you access to their products and services.","Marketing"
"26","gauge which areas of our service need improving.","Analytics/Research"
"26","We use this information to gauge which areas of our service need improving.","Analytics/Research"
"26","We use this information to gauge which areas of our service need improving.","Analytics/Research"
"26","We use this information to gauge which areas of our service need improving.","Analytics/Research"
"28","measure the effectiveness of their ads and to personalize advertising content","Advertising"
"28","measure the effectiveness of their ads and to personalize advertising content","Advertising"
"28","Advertisements","Advertising"
"28","Advertisements","Advertising"
"28","Advertisements that appear on our website are sometimes delivered (or ""served"")","Advertising"
"28","to measure the effectiveness of their ads","Analytics/Research"
"28","to personalize advertising content.","Personalization/Customization"
"28","serve advertisements to you","Advertising"
"30","provide advertisements about goods and services of interest to you.","Advertising"
"30","Websites in order to provide advertisements about goods and services of interest to you.","Advertising"
"30","in order to provide advertisements about goods and services of interest to you.","Advertising"
"31","during order processing.","Basic service/feature"
"35","to process your orders or inquiries","Basic service/feature"
"36","non-order related email","Marketing"
"36","If, after receiving a non-order related email,","Marketing"
"36","eceiving a non-order related email","Unspecified"
